Date,Day,Phase,Week,Section,Exercise,Sets,Reps,Rest,Notes
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Jump rope,1,2min,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Hip circles,1,10ea,-,slow controlled
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Arm circles,1,10ea,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Leg swings front/back,1,10ea,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Band pull-aparts,1,15,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Warm-up,Goblet squat hold,1,30s,-,deep position
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Goblet Squat,3,10,90s,tempo 3-1-1
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Romanian Deadlift (barbell),3,10,90s,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Bench Press,3,10,90s,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Bent-Over Row,3,10,90s,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Pallof Press,3,10ea,60s,ANTI-ROTATION
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Main,Farmer's Walk,3,30m,60s,grip focus
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Cool-down,Hip flexor stretch,1,30s ea,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Cool-down,Lat stretch,1,30s ea,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Cool-down,Foam roll thoracic,1,60s,-,
1/14/2026,Wednesday,Phase 1 - Hypertrophy,1,Cool-down,Deep breathing,1,60s,-,box breath 4-4-4
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Warm-up,Jumping jacks,1,1min,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Warm-up,World's greatest stretch,1,5ea,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Warm-up,Cat-cow,1,10,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Warm-up,Ring support hold,1,20s,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Warm-up,Band face pulls,1,15,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,KB Goblet Squat (24kg),3,12,60s,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,Ring Rows,3,12,60s,feet elevated
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,KB Floor Press (2x16kg),3,12,60s,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,KB Single-Leg Deadlift (24kg),3,10ea,60s,balance focus
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,Ring Plank Hold,3,30s,60s,ANTI-ROTATION
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Main,Towel Grip Dead Hang,3,30s,60s,judo grip
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Cool-down,Forearm stretch,1,30s ea,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Cool-down,Shoulder stretch,1,30s ea,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Cool-down,Child's pose,1,60s,-,
1/16/2026,Friday,Phase 1 - Hypertrophy,1,Cool-down,Deep breathing,1,60s,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Warm-up,High knees,1,30s,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Warm-up,Butt kicks,1,30s,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Warm-up,Bodyweight squats,1,10,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Warm-up,Arm circles,1,10ea,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Warm-up,KB Halo (16kg),1,10ea,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,KB Swing (24kg),4,15,60s,hip hinge
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,Ring Push-ups,3,12,60s,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,KB Goblet Reverse Lunge (24kg),3,10ea,60s,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,Band Pull-Apart,3,15,45s,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,Dead Bug,3,10ea,45s,ANTI-ROTATION
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Main,Band Uchi Komi,3,20,60s,judo specific
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Cool-down,Pigeon stretch,1,30s ea,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Cool-down,Quad stretch,1,30s ea,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Cool-down,Standing forward fold,1,60s,-,
1/18/2026,Sunday,Phase 1 - Hypertrophy,1,Cool-down,Deep breathing,1,60s,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Warm-up,Jump rope,1,2min,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Warm-up,Hip circles,1,10ea,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Warm-up,Leg swings,1,10ea,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Warm-up,Band pull-aparts,1,15,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Warm-up,Goblet squat hold,1,30s,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Front Squat,3,10,90s,upright torso
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Romanian Deadlift,3,10,90s,+5lbs from wk1
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Incline Bench Press,3,10,90s,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Lat Pulldown,3,10,90s,varied grip
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Pallof Press Hold,3,20s ea,60s,ANTI-ROTATION
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Main,Suitcase Carry,3,30m ea,60s,oblique focus
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Cool-down,Hip flexor stretch,1,30s ea,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Cool-down,Lat stretch,1,30s ea,-,
1/21/2026,Wednesday,Phase 1 - Hypertrophy,2,Cool-down,Deep breathing,1,60s,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Warm-up,Jumping jacks,1,1min,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Warm-up,World's greatest stretch,1,5ea,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Warm-up,Cat-cow,1,10,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Warm-up,Ring support hold,1,20s,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,KB Front Squat (2x16kg),3,10,60s,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,Ring Rows (feet elevated),3,12,60s,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,KB Floor Press (2x24kg),3,10,60s,heavier
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,KB Romanian Deadlift (32kg),3,10,60s,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,Bird Dog,3,10ea,45s,ANTI-ROTATION
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Main,Ring False Grip Hold,3,20s,60s,grip strength
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Cool-down,Forearm stretch,1,30s ea,-,
1/23/2026,Friday,Phase 1 - Hypertrophy,2,Cool-down,Child's pose,1,60s,-,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Warm-up,High knees,1,30s,-,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Warm-up,Butt kicks,1,30s,-,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Warm-up,KB Halo (16kg),1,10ea,-,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,KB Swing (32kg),4,12,60s,heavier
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,Ring Dips (assisted if needed),3,8,60s,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,KB Lateral Lunge (24kg),3,10ea,60s,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,Band Face Pull,3,15,45s,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,Hollow Body Hold,3,30s,45s,ANTI-ROTATION
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Main,Band Uchi Komi,3,25,60s,faster pace
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Cool-down,Pigeon stretch,1,30s ea,-,
1/25/2026,Sunday,Phase 1 - Hypertrophy,2,Cool-down,Deep breathing,1,60s,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Warm-up,Jump rope,1,2min,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Warm-up,Hip circles,1,10ea,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Warm-up,Leg swings,1,10ea,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Warm-up,Band pull-aparts,1,15,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Back Squat,3,8,90s,increase load
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Trap Bar Deadlift,3,8,90s,
